device_id,home_ses,ses_quintile,mobility_type
dev_0114,high,5,diverse
dev_0115,high,4,diverse
dev_0116,low,2,partial
dev_0117,low,1,partial
dev_0118,low,2,diverse
dev_0119,low,1,partial
dev_0120,low,1,diverse
dev_0121,low,2,constrained
dev_0122,low,2,constrained
dev_0123,high,4,diverse
dev_0124,low,2,partial
dev_0125,low,2,partial
dev_0126,low,1,diverse
dev_0127,high,5,diverse
dev_0128,low,1,constrained
dev_0129,low,1,diverse
dev_0130,low,1,partial
dev_0131,low,2,diverse
dev_0132,low,2,partial
dev_0133,high,4,diverse
dev_0134,low,2,partial
dev_0135,high,5,diverse
dev_0136,high,5,diverse
dev_0137,low,2,partial
dev_0138,low,2,diverse
dev_0139,low,1,constrained
dev_0140,low,2,constrained
dev_0141,low,2,constrained
dev_0142,low,1,partial
dev_0143,low,1,diverse
dev_0144,high,4,diverse
dev_0145,low,1,partial
dev_0146,high,4,diverse
dev_0147,low,2,diverse
dev_0148,low,2,diverse
dev_0149,high,5,diverse
dev_0150,low,1,constrained
dev_0151,low,1,constrained
dev_0152,low,2,diverse
dev_0153,low,1,diverse
dev_0154,low,2,partial
dev_0155,low,2,constrained
dev_0156,high,4,diverse
dev_0157,low,2,partial
dev_0158,low,2,diverse
dev_0159,high,4,diverse
dev_0160,high,4,diverse
dev_0161,low,1,partial
dev_0162,low,2,diverse
dev_0163,low,2,partial
dev_0164,high,5,diverse
dev_0165,low,2,constrained
dev_0166,high,5,diverse
dev_0167,low,1,diverse
dev_0168,low,2,constrained
dev_0169,high,4,diverse
dev_0170,high,5,diverse
dev_0171,low,2,constrained
dev_0172,high,5,diverse
dev_0173,high,4,diverse
dev_0174,high,5,diverse
dev_0175,low,1,partial
dev_0176,low,1,constrained
dev_0177,low,1,partial
dev_0178,low,1,partial
dev_0179,low,2,partial
dev_0180,low,1,partial
dev_0181,high,4,diverse
dev_0182,high,5,diverse
dev_0183,low,1,partial
dev_0184,high,4,diverse
dev_0185,low,2,partial
dev_0186,high,4,diverse
dev_0187,low,2,diverse
dev_0188,low,1,constrained
dev_0189,high,4,diverse
dev_0190,low,1,partial
dev_0191,low,2,diverse
dev_0192,high,4,diverse
dev_0193,low,2,constrained
dev_0194,low,1,diverse
dev_0195,low,1,partial
dev_0196,low,1,constrained
dev_0197,low,2,partial
dev_0198,low,2,constrained
dev_0199,low,2,constrained
dev_0200,low,1,partial
dev_0201,low,2,partial
dev_0202,high,5,diverse
dev_0203,high,5,diverse
dev_0204,high,5,diverse
dev_0205,low,1,partial
dev_0206,high,5,diverse
dev_0207,low,1,constrained
dev_0208,low,1,partial
dev_0209,high,5,diverse
dev_0210,low,1,constrained
dev_0211,high,4,diverse
dev_0212,low,2,partial
dev_0213,high,5,diverse
dev_0214,high,5,diverse
dev_0215,low,2,diverse
dev_0216,high,4,diverse
dev_0217,low,1,constrained
dev_0218,high,5,diverse
dev_0219,high,5,diverse
dev_0220,low,2,partial
dev_0221,high,4,diverse
dev_0222,low,1,diverse
dev_0223,low,1,constrained
dev_0224,high,5,diverse
dev_0225,high,4,diverse
dev_0226,high,4,diverse
dev_0227,low,1,constrained
dev_0228,low,2,partial
dev_0229,low,2,constrained
dev_0230,low,1,diverse
dev_0231,high,5,diverse
dev_0232,high,5,diverse
dev_0233,low,2,diverse
dev_0234,high,5,diverse
dev_0235,high,4,diverse
dev_0236,high,4,diverse
dev_0237,low,1,constrained
dev_0238,low,1,partial
dev_0239,low,2,partial
dev_0240,high,4,diverse
dev_0241,low,2,diverse
dev_0242,high,4,diverse
dev_0243,low,1,constrained
dev_0244,low,2,constrained
dev_0245,low,1,diverse
dev_0246,high,5,diverse
dev_0247,low,2,constrained
dev_0248,low,1,partial
dev_0249,low,1,constrained
dev_0250,high,5,diverse
dev_0251,low,2,constrained
dev_0252,high,4,diverse
dev_0253,high,4,diverse
dev_0254,high,4,diverse
dev_0255,low,1,partial
dev_0256,low,1,partial
dev_0257,low,1,constrained
dev_0258,high,5,diverse
dev_0259,high,4,diverse
dev_0260,high,4,diverse
dev_0261,high,5,diverse
dev_0262,low,2,constrained
dev_0263,low,2,partial
dev_0264,high,5,diverse
dev_0265,high,4,diverse
dev_0266,low,1,constrained
dev_0267,low,1,constrained
dev_0268,high,4,diverse
dev_0269,high,5,diverse
dev_0270,low,1,diverse
dev_0271,low,2,partial
dev_0272,low,2,partial
dev_0273,low,1,partial
dev_0274,low,1,constrained
dev_0275,low,2,diverse
dev_0276,low,1,partial
dev_0277,low,2,partial
dev_0278,low,2,partial
dev_0279,high,4,diverse
dev_0280,high,4,diverse
dev_0281,high,4,diverse
dev_0282,high,4,diverse
dev_0283,low,1,constrained
dev_0284,low,1,constrained
dev_0285,high,4,diverse
dev_0286,high,4,diverse
dev_0287,high,5,diverse
dev_0288,low,1,partial
dev_0289,low,1,constrained
dev_0290,low,2,constrained
dev_0291,low,2,partial
dev_0292,low,1,constrained
dev_0293,low,1,diverse
dev_0294,low,2,diverse
dev_0295,high,4,diverse
dev_0296,low,2,partial
dev_0297,high,5,diverse
dev_0298,high,4,diverse
dev_0299,high,4,diverse
dev_0300,high,4,diverse
dev_0301,high,5,diverse
dev_0302,high,4,diverse
dev_0303,low,1,constrained
dev_0304,low,2,partial
dev_0305,high,4,diverse
dev_0306,low,1,partial
dev_0307,low,1,partial
dev_0308,high,5,diverse
dev_0309,low,2,partial
dev_0310,low,1,diverse
dev_0311,high,4,diverse
dev_0312,low,2,partial
dev_0313,high,4,diverse
dev_0314,low,2,constrained
dev_0315,low,1,diverse
dev_0316,low,2,constrained
dev_0317,low,2,partial
dev_0318,low,1,constrained
dev_0319,high,4,diverse
dev_0320,low,1,diverse
dev_0321,high,4,diverse
dev_0322,high,5,diverse
dev_0323,low,1,constrained
dev_0324,low,1,constrained
dev_0325,low,1,diverse
dev_0326,low,2,constrained
dev_0327,low,1,partial
dev_0328,low,1,constrained
dev_0329,low,2,constrained
dev_0330,low,2,diverse
dev_0331,low,1,partial
dev_0332,high,4,diverse
dev_0333,low,1,partial
dev_0334,high,5,diverse
dev_0335,high,5,diverse
dev_0336,high,5,diverse
dev_0337,high,4,diverse
dev_0338,low,2,constrained
dev_0339,low,1,constrained
dev_0340,low,1,constrained
dev_0341,low,2,diverse
dev_0342,high,4,diverse
dev_0343,low,2,partial
dev_0344,low,1,constrained
dev_0345,low,1,partial
dev_0346,high,4,diverse
dev_0347,low,2,constrained
dev_0348,low,1,partial
dev_0349,low,1,partial
dev_0350,low,2,constrained
dev_0351,low,2,constrained
dev_0352,low,2,constrained
dev_0353,low,1,constrained
dev_0354,low,1,diverse
dev_0355,low,2,partial
dev_0356,high,5,diverse
dev_0357,low,1,diverse
dev_0358,high,4,diverse
dev_0359,high,4,diverse
dev_0360,low,1,partial
dev_0361,high,4,diverse
dev_0362,high,5,diverse
dev_0363,low,1,diverse
dev_0364,low,2,partial
dev_0365,low,2,constrained
dev_0366,low,2,constrained
dev_0367,low,1,partial
dev_0368,low,2,diverse
dev_0369,high,5,diverse
dev_0370,low,2,constrained
dev_0371,low,2,partial
dev_0372,high,5,diverse
dev_0373,low,1,constrained
dev_0374,low,2,diverse
dev_0375,high,5,diverse
dev_0376,low,2,diverse
dev_0377,low,1,constrained
dev_0378,high,5,diverse
dev_0379,low,1,diverse
dev_0380,high,5,diverse
dev_0381,high,4,diverse
dev_0382,high,5,diverse
dev_0383,low,1,constrained
dev_0384,low,1,diverse
dev_0385,low,2,constrained
dev_0386,high,5,diverse
dev_0387,low,2,partial
dev_0388,low,1,constrained
dev_0389,low,2,constrained
dev_0390,low,1,constrained
dev_0391,high,5,diverse
dev_0392,high,4,diverse
dev_0393,low,1,constrained
dev_0394,high,5,diverse
dev_0395,low,2,constrained
dev_0396,high,4,diverse
dev_0397,low,1,partial
dev_0398,low,1,partial
dev_0399,high,5,diverse
dev_0400,low,2,diverse
dev_0401,high,5,diverse
dev_0402,high,4,diverse
dev_0403,high,4,diverse
dev_0404,high,4,diverse
dev_0405,high,4,diverse
dev_0406,low,1,partial
dev_0407,low,1,constrained
dev_0408,low,1,constrained
dev_0409,high,4,diverse
dev_0410,high,5,diverse
dev_0411,low,2,constrained
dev_0412,low,1,constrained
dev_0413,high,5,diverse
dev_0414,low,2,constrained
dev_0415,low,2,constrained
dev_0416,high,5,diverse
dev_0417,low,2,partial
dev_0418,low,2,constrained
dev_0419,high,5,diverse
dev_0420,high,5,diverse
dev_0421,low,2,constrained
dev_0422,low,2,partial
dev_0423,low,2,constrained
dev_0424,low,2,constrained
dev_0425,low,2,partial
dev_0426,high,4,diverse
dev_0427,low,2,constrained
dev_0428,low,1,constrained
dev_0429,low,2,partial
dev_0430,low,2,partial
dev_0431,low,1,partial
dev_0432,low,2,constrained
dev_0433,high,4,diverse
dev_0434,high,4,diverse
dev_0435,high,4,diverse
dev_0436,high,5,diverse
dev_0437,high,4,diverse
dev_0438,low,2,partial
dev_0439,low,2,partial
dev_0440,low,1,constrained
dev_0441,high,4,diverse
dev_0442,high,5,diverse
dev_0443,high,4,diverse
dev_0444,low,2,diverse
dev_0445,high,5,diverse
dev_0446,high,5,diverse
dev_0447,low,2,constrained
dev_0448,low,1,partial
dev_0449,low,1,constrained
dev_0450,low,1,diverse
dev_0451,low,2,constrained
dev_0452,high,5,diverse
dev_0453,high,5,diverse
dev_0454,high,4,diverse
dev_0455,high,5,diverse
dev_0456,low,2,diverse
dev_0457,low,2,partial
dev_0458,low,2,partial
dev_0459,low,1,constrained
dev_0460,high,4,diverse
dev_0461,low,2,partial
dev_0462,low,2,constrained
dev_0463,low,2,partial
dev_0464,low,2,partial
dev_0465,high,4,diverse
dev_0466,low,1,partial
dev_0467,low,2,partial
dev_0468,high,5,diverse
dev_0469,low,2,partial
dev_0470,low,1,partial
dev_0471,low,2,constrained
dev_0472,low,2,constrained
dev_0473,low,2,partial
dev_0474,high,5,diverse
dev_0475,low,1,partial
dev_0476,high,4,diverse
dev_0477,high,5,diverse
dev_0478,high,4,diverse
dev_0479,high,4,diverse
dev_0480,high,4,diverse
dev_0481,low,2,diverse
dev_0482,high,5,diverse
dev_0483,low,1,partial
dev_0484,high,5,diverse
dev_0485,low,1,constrained
dev_0486,high,4,diverse
dev_0487,low,2,diverse
dev_0488,low,2,diverse
dev_0489,high,4,diverse
dev_0490,low,1,diverse
dev_0491,low,1,constrained
dev_0492,low,1,diverse
dev_0493,high,4,diverse
dev_0494,low,2,constrained
dev_0495,low,1,constrained
dev_0496,low,1,partial
dev_0497,low,1,constrained
dev_0498,low,2,partial
dev_0499,high,5,diverse
dev_0500,low,2,partial
dev_0501,low,1,partial
dev_0502,low,1,partial
dev_0503,low,2,constrained
dev_0504,high,4,diverse
dev_0505,low,2,partial
dev_0506,low,2,partial
dev_0507,high,5,diverse
dev_0508,low,2,constrained
dev_0509,low,2,partial
dev_0510,high,4,diverse
dev_0511,high,5,diverse
dev_0512,low,2,partial
dev_0513,high,4,diverse
dev_0514,high,4,diverse
dev_0515,low,2,partial
dev_0516,low,2,constrained
dev_0517,low,1,partial
dev_0518,low,2,constrained
dev_0519,low,1,constrained
dev_0520,low,1,constrained
dev_0521,high,4,diverse
dev_0522,low,2,diverse
dev_0523,high,5,diverse
dev_0524,low,2,diverse
dev_0525,low,1,partial
dev_0526,low,2,constrained
dev_0527,low,2,constrained
dev_0528,high,4,diverse
dev_0529,low,2,constrained
dev_0530,high,4,diverse
dev_0531,low,2,diverse
dev_0532,low,2,partial
dev_0533,low,2,constrained
dev_0534,low,2,diverse
dev_0535,low,1,constrained
dev_0536,high,4,diverse
dev_0537,low,1,diverse
dev_0538,low,1,diverse
dev_0539,high,5,diverse
dev_0540,low,2,diverse
dev_0541,high,4,diverse
dev_0542,low,1,partial
dev_0543,low,1,partial
dev_0544,low,2,partial
dev_0545,low,2,partial
dev_0546,low,1,diverse
dev_0547,low,2,constrained
dev_0548,low,1,constrained
dev_0549,high,5,diverse
dev_0550,high,5,diverse
dev_0551,high,5,diverse
dev_0552,low,1,constrained
dev_0553,low,1,constrained
dev_0554,low,1,constrained
dev_0555,low,2,partial
dev_0556,low,1,partial
dev_0557,high,5,diverse
dev_0558,high,5,diverse
dev_0559,low,1,partial
dev_0560,low,1,partial
dev_0561,high,4,diverse
dev_0562,low,1,constrained
dev_0563,low,1,partial
dev_0564,high,5,diverse
dev_0565,high,4,diverse
dev_0566,low,2,diverse
dev_0567,low,1,partial
dev_0568,high,4,diverse
dev_0569,high,4,diverse
dev_0570,low,2,diverse
dev_0571,high,4,diverse
dev_0572,low,1,partial
dev_0573,low,1,constrained
dev_0574,high,5,diverse
dev_0575,low,2,partial
dev_0576,high,4,diverse
dev_0577,high,4,diverse
dev_0578,low,2,diverse
dev_0579,low,1,constrained
dev_0580,low,2,partial
dev_0581,low,2,constrained
dev_0582,high,5,diverse
dev_0583,low,2,constrained
dev_0584,low,2,diverse
dev_0585,low,2,partial
dev_0586,high,4,diverse
dev_0587,high,5,diverse
dev_0588,low,1,partial
dev_0589,low,2,diverse
dev_0590,high,4,diverse
dev_0591,low,1,partial
dev_0592,low,1,partial
dev_0593,low,2,partial
dev_0594,high,4,diverse
dev_0595,low,2,diverse
dev_0596,high,4,diverse
dev_0597,high,4,diverse
dev_0598,low,1,partial
dev_0599,low,1,constrained
dev_0600,low,1,constrained
