poi_id,poi_type,poi_ses,lon,lat
poi_036,educational,high,-87.63265729197302,41.898150078998874
poi_037,consumption,low,-87.63614517697134,41.99305111849681
poi_038,consumption,low,-87.61924343705178,41.98138849609531
poi_039,cultural,low,-87.60418453859165,41.91025010556914
poi_040,labor,high,-87.62641963595524,41.81511981990188
poi_041,consumption,high,-87.60686188647524,41.80454000225291
poi_042,consumption,high,-87.69002156942152,41.90264790556393
poi_043,consumption,high,-87.66252865768038,41.9261452303268
poi_044,cultural,low,-87.50346811725758,41.88375432486646
poi_045,consumption,low,-87.63434518608265,41.97585318903439
poi_046,cultural,low,-87.66580072189682,41.82159741460345
poi_047,cultural,low,-87.60234902109951,41.99605573927984
poi_048,labor,low,-87.69626251766458,41.85299332626164
poi_049,cultural,low,-87.63210298325866,41.81685550464317
poi_050,labor,low,-87.69406732488424,41.87718143514358
poi_051,consumption,high,-87.52655426738784,41.82497916542925
poi_052,consumption,low,-87.55365848005749,41.916310844337566
poi_053,consumption,low,-87.63694784063846,41.848029921622945
poi_054,educational,low,-87.62270919764414,41.944377577723934
poi_055,consumption,low,-87.63351080189459,41.82918573813512
poi_056,educational,low,-87.68204440576956,41.83056775406003
poi_057,labor,high,-87.54858887949959,41.851844534045085
poi_058,consumption,high,-87.57940630055964,41.95557725201361
poi_059,consumption,high,-87.67092000548728,41.88529325993731
poi_060,labor,high,-87.69349650330842,41.81200966723263
poi_061,labor,high,-87.60324637168087,41.82296650740318
poi_062,cultural,high,-87.611086094426,41.89655137946829
poi_063,educational,low,-87.6879228820093,41.99583471678197
poi_064,labor,low,-87.63449879558758,41.962303357385096
poi_065,educational,high,-87.52431419054047,41.908582563418896
poi_066,consumption,high,-87.51387902274728,41.81447341740131
poi_067,consumption,high,-87.6215643086005,41.893297049216926
poi_068,educational,high,-87.66823064503261,41.86798112918623
poi_069,labor,low,-87.63601047978737,41.93798372102901
poi_070,consumption,low,-87.63860687594861,41.90283147441223
poi_071,consumption,low,-87.67843774911016,41.90298460312187
poi_072,consumption,high,-87.50413313931786,41.90910287080332
poi_073,consumption,low,-87.60061931437814,41.889491466013716
poi_074,labor,low,-87.68138506561517,41.8167769680731
poi_075,consumption,low,-87.65764526836574,41.986026738351214
poi_076,labor,low,-87.51389985075221,41.80328963724896
poi_077,consumption,low,-87.64063071864658,41.88281847988255
poi_078,consumption,low,-87.56935635022819,41.84539521867409
poi_079,labor,high,-87.51978590441868,41.81992811746895
poi_080,consumption,high,-87.50184084135108,41.896584775019434
poi_081,labor,high,-87.61393335573375,41.93002573428675
poi_082,consumption,low,-87.62124461554923,41.98426595567726
poi_083,consumption,high,-87.67161822090857,41.87252036142163
poi_084,labor,low,-87.64403866073117,41.97102699801326
poi_085,educational,low,-87.58703555548564,41.86018123030662
poi_086,labor,low,-87.5129720989149,41.893132485030215
poi_087,consumption,high,-87.62831997098401,41.8285461329855
poi_088,consumption,low,-87.53159856381826,41.961543798726055
poi_089,consumption,low,-87.55551815712825,41.93316152635962
poi_090,consumption,low,-87.54985280213877,41.8123881959822
poi_091,labor,low,-87.51520230956376,41.88618511366658
poi_092,consumption,high,-87.69952437863685,41.87937101628631
poi_093,consumption,low,-87.66791401701049,41.939391350280495
poi_094,cultural,low,-87.62014540974052,41.93186393012292
poi_095,cultural,low,-87.56493608453312,41.88147014193237
poi_096,educational,high,-87.60392559673637,41.861384044075386
poi_097,consumption,high,-87.5932342438493,41.851021469011904
poi_098,labor,low,-87.63660996854306,41.934513630671425
poi_099,educational,low,-87.53704848196358,41.97887868671678
poi_100,labor,high,-87.641556095751,41.969147231243554
poi_101,labor,low,-87.6181735817343,41.87858037138358
poi_102,consumption,low,-87.68181633846835,41.815810107998544
poi_103,consumption,low,-87.5402806723956,41.96568461139687
poi_104,consumption,high,-87.62804295006208,41.814578364975745
poi_105,cultural,low,-87.69190248465166,41.82295253551565
poi_106,cultural,high,-87.69178273202851,41.92799685401842
poi_107,educational,low,-87.50911315232516,41.86411324003711
poi_108,educational,low,-87.62533175102435,41.837749905232336
poi_109,labor,low,-87.538716066489,41.878765928233044
poi_110,consumption,low,-87.51798819820397,41.97240520319902
poi_111,labor,low,-87.61198475742712,41.86958228130825
poi_112,educational,low,-87.58473269939422,41.80028677969239
poi_113,educational,low,-87.6852664409671,41.982256890740246
poi_114,labor,low,-87.66707452111878,41.99034468978643
poi_115,labor,high,-87.55202184482478,41.898183796601366
poi_116,labor,high,-87.60485779745504,41.89273034306243
poi_117,consumption,low,-87.56289580934681,41.91929440936074
poi_118,consumption,high,-87.50969701143913,41.981210191454736
poi_119,labor,high,-87.60050710248761,41.83460023580119
poi_120,educational,low,-87.60589987467975,41.95717621534131
